loan_id,borrower_id,application_date,loan_purpose,loan_amount,term_months,interest_rate,monthly_payment,dti_ratio,loan_status,days_delinquent,defaulted,application_year,application_month,risk_flag,dti_extreme,age,state,education_level,employment_status,years_employed,annual_income,credit_score,home_ownership,dependents,existing_monthly_debt,credit_score_bucket,dti_range,tenure_group,loan_amount_range,income_bracket
LN-00001,BRW-0001,2024-01-08,Vacation,16100.0,36,13.05,542.86,55.5,Paid Off,0,0,2024,1,Non-Default,False,62,CT,High School,Self-Employed,6,31020,596,Rent,1,892,520-599,50-75%,5-9 years,$10-20K,$30-50K
LN-00002,BRW-0001,2024-08-13,Major Purchase,5600.0,48,14.21,153.62,40.4,Default,138,1,2024,8,Default,False,62,CT,High School,Self-Employed,6,31020,596,Rent,1,892,520-599,35-50%,5-9 years,$0-10K,$30-50K
LN-00003,BRW-0002,2025-06-28,Moving,44700.0,36,12.37,1492.59,70.5,Paid Off,0,0,2025,6,Non-Default,False,24,CO,High School,Full-Time,4,40188,543,Own,2,869,520-599,50-75%,2-4 years,$30-50K,$30-50K
LN-00004,BRW-0003,2025-05-18,Auto Loan,9200.0,48,11.18,238.58,59.8,Default,34,1,2025,5,Default,False,50,NC,Bachelor,Contract,22,41014,611,Mortgage,0,1806,600-649,50-75%,10+ years,$0-10K,$30-50K
LN-00005,BRW-0004,2025-03-24,Moving,11200.0,36,9.66,359.61,44.1,Current,0,0,2025,3,Non-Default,False,43,TX,High School,Full-Time,19,35036,701,Mortgage,2,928,700-749,35-50%,10+ years,$10-20K,$30-50K
LN-00006,BRW-0005,2025-04-19,Education,28600.0,48,13.07,768.26,37.1,Current,0,0,2025,4,Non-Default,False,46,NY,High School,Full-Time,18,44528,715,Own,0,608,700-749,35-50%,10+ years,$20-30K,$30-50K
LN-00007,BRW-0006,2024-07-04,Medical Expenses,39200.0,12,10.23,3450.5,49.9,Paid Off,0,0,2024,7,Non-Default,False,40,OR,Doctorate,Contract,8,157047,749,Mortgage,1,3076,700-749,35-50%,5-9 years,$30-50K,$100K+
LN-00008,BRW-0007,2025-03-29,Home Improvement,36300.0,48,14.26,996.69,38.2,Default,38,1,2025,3,Default,False,35,GA,Bachelor,Self-Employed,5,84210,576,Mortgage,0,1682,520-599,35-50%,5-9 years,$30-50K,$75-100K
LN-00009,BRW-0007,2024-08-01,Business Loan,39000.0,60,13.73,902.01,36.8,Current,0,0,2024,8,Non-Default,False,35,GA,Bachelor,Self-Employed,5,84210,576,Mortgage,0,1682,520-599,35-50%,5-9 years,$30-50K,$75-100K
LN-00010,BRW-0008,2024-11-01,Debt Consolidation,28400.0,12,11.88,2521.71,67.8,Default,43,1,2024,11,Default,False,62,KY,Bachelor,Full-Time,14,61289,563,Rent,1,939,520-599,50-75%,10+ years,$20-30K,$50-75K
LN-00011,BRW-0009,2024-06-20,Business Loan,13300.0,48,10.91,343.16,18.6,Current,0,0,2024,6,Non-Default,False,35,UT,Master,Part-Time,15,63908,643,Mortgage,2,646,600-649,0-20%,10+ years,$10-20K,$50-75K
LN-00012,BRW-0009,2024-06-07,Business Loan,2700.0,48,12.73,72.07,13.5,Current,0,0,2024,6,Non-Default,False,35,UT,Master,Part-Time,15,63908,643,Mortgage,2,646,600-649,0-20%,10+ years,$0-10K,$50-75K
